Date,ISO,Country,Status
02/07/2021,NPL,Nepal,Academic break
02/07/2021,NRU,Nauru,Fully open
02/07/2021,NZL,New Zealand,Fully open
02/07/2021,OMN,Oman,Partially open
02/07/2021,PAK,Pakistan,Academic break
02/07/2021,PAN,Panama,Partially open
02/07/2021,PER,Peru,Closed due to COVID-19
02/07/2021,PHL,Philippines,Closed due to COVID-19
02/07/2021,PLW,Palau,Academic break
02/07/2021,PNG,Papua New Guinea,Academic break
02/07/2021,POL,Poland,Academic break
02/07/2021,PRK,Democratic People's Republic of Korea,Fully open
02/07/2021,PRT,Portugal,Fully open
02/07/2021,PRY,Paraguay,Partially open
02/07/2021,PSE,Palestine,Academic break
02/07/2021,QAT,Qatar,Academic break
02/07/2021,ROU,Romania,Academic break
02/07/2021,RUS,Russian Federation,Academic break
02/07/2021,RWA,Rwanda,Closed due to COVID-19
02/07/2021,SAU,Saudi Arabia,Academic break
02/07/2021,SDN,Sudan,Academic break
02/07/2021,SEN,Senegal,Fully open
02/07/2021,SGP,Singapore,Partially open
02/07/2021,SJM,Svalbard,Academic break
02/07/2021,SLB,Solomon Islands,Academic break
02/07/2021,SLE,Sierra Leone,Fully open
02/07/2021,SLV,El Salvador,Partially open
02/07/2021,SMR,San Marino,Academic break
02/07/2021,SOM,Somalia,Academic break
02/07/2021,SRB,Serbia,Academic break
02/07/2021,SSD,South Sudan,Fully open
02/07/2021,STP,São Tomé and Príncipe,Academic break
02/07/2021,SUR,Suriname,Closed due to COVID-19
02/07/2021,SVK,Slovakia,Academic break
02/07/2021,SVN,Slovenia,Academic break
02/07/2021,SWE,Sweden,Academic break
02/07/2021,SWZ,Eswatini,Closed due to COVID-19
02/07/2021,SXM,Sint Marteen,Academic break
02/07/2021,SYC,Seychelles,Academic break
02/07/2021,SYR,Syrian Arab Republic,Academic break
02/07/2021,TCA,Turks and Caicos Island,Partially open
02/07/2021,TCD,Chad,Academic break
02/07/2021,TGO,Togo,Fully open
02/07/2021,THA,Thailand,Partially open
02/07/2021,TJK,Tajikistan,Academic break
02/07/2021,TKL,Tokelau,Fully open
02/07/2021,TKM,Turkmenistan,Academic break
02/07/2021,TLS,Timor-Leste,Partially open
02/07/2021,TON,Tonga,Academic break
02/07/2021,TTO,Trinidad and Tobago,Academic break
02/07/2021,TUN,Tunisia,Academic break
02/07/2021,TUR,Turkey,Academic break
02/07/2021,TUV,Tuvalu,Fully open
02/07/2021,TZA,United Republic of Tanzania,Academic break
02/07/2021,UGA,Uganda,Closed due to COVID-19
02/07/2021,UKR,Ukraine,Academic break
02/07/2021,URY,Uruguay,Partially open
02/07/2021,USA,United States of America,Academic break
02/07/2021,UZB,Uzbekistan,Academic break
02/07/2021,VCT,Saint Vincent and the Grenadines,Partially open
02/07/2021,VEN,Venezuela,Closed due to COVID-19
02/07/2021,VGB,British Virgin Islands,Academic break
02/07/2021,VNM,Viet Nam,Academic break
02/07/2021,VUT,Vanuatu,Fully open
02/07/2021,WSM,Samoa,Academic break
02/07/2021,YEM,Yemen,Academic break
02/07/2021,ZAF,South Africa,Partially open
02/07/2021,ZMB,Zambia,Closed due to COVID-19
02/07/2021,ZWE,Zimbabwe,Closed due to COVID-19
